Title,Laurier & Metcalfe bike counter - updated daily
2013-10-16,1401
2013-10-17,1890
2013-10-18,1294
2013-10-19,405
2013-10-20,552
2013-10-21,1265
2013-10-22,1654
2013-10-23,1677
2013-10-24,1545
2013-10-25,1422
2013-10-26,238
2013-10-27,396
2013-10-28,1240
2013-10-29,1387
2013-10-30,1387
2013-10-31,901
2013-11-01,931
2013-11-02,391
2013-11-03,329
2013-11-04,1269
2013-11-05,1351
2013-11-06,1261
2013-11-07,1305
2013-11-08,1071
2013-11-09,279
2013-11-10,170
2013-11-11,458
2013-11-12,832
2013-11-13,841
2013-11-14,1065
2013-11-15,1091
2013-11-16,504
2013-11-17,255
2013-11-18,778
2013-11-19,841
2013-11-20,877
2013-11-21,900
2013-11-22,631
2013-11-23,139
2013-11-24,83
2013-11-25,408
2013-11-26,526
2013-11-27,196
2013-11-28,302
2013-11-29,289
2013-11-30,87
2013-12-01,71
2013-12-02,320
2013-12-03,368
2013-12-04,368
2013-12-05,377
2013-12-06,394
2013-12-07,127
2013-12-08,113
2013-12-09,232
2013-12-10,303
2013-12-11,294
2013-12-12,272
2013-12-13,266
2013-12-14,57
2013-12-15,61
2013-12-16,230
2013-12-17,193
2013-12-18,230
2013-12-19,213
2013-12-20,178
2013-12-21,55
2013-12-22,7
2013-12-23,138
2013-12-24,73
2013-12-25,9
2013-12-26,31
2013-12-27,102
2013-12-28,97
2013-12-29,55
2013-12-30,110
2013-12-31,93
2014-01-01,29
2014-01-02,87
2014-01-03,97
2014-01-04,55
2014-01-05,49
2014-01-06,114
2014-01-07,120
2014-01-08,184
2014-01-09,217
2014-01-10,190
2014-01-11,41
2014-01-12,54
2014-01-13,268
2014-01-14,281
2014-01-15,304
2014-01-16,265
2014-01-17,240
2014-01-18,76
2014-01-19,40
2014-01-20,237
2014-01-21,196
2014-01-22,185
2014-01-23,401
2014-01-24,174
2014-01-25,50
2014-01-26,36
2014-01-27,161
2014-01-28,190
2014-01-29,194
2014-01-30,211
2014-01-31,220
2014-02-01,62
2014-02-02,38
2014-02-03,200
2014-02-04,224
2014-02-05,201
2014-02-06,205
2014-02-07,191
2014-02-08,48
2014-02-09,44
2014-02-10,220
2014-02-11,215
2014-02-12,232
2014-02-13,228
2014-02-14,150
2014-02-15,74
2014-02-16,41
2014-02-17,120
2014-02-18,180
2014-02-19,210
2014-02-20,243
2014-02-21,155
2014-02-22,80
2014-02-23,56
2014-02-24,233
2014-02-25,241
2014-02-26,205
2014-02-27,201
2014-02-28,198
2014-03-01,56
2014-03-02,38
2014-03-03,196
2014-03-04,207
2014-03-05,228
2014-03-06,237
2014-03-07,215
2014-03-08,59
2014-03-09,60
2014-03-10,253
2014-03-11,235
2014-03-12,201
2014-03-13,165
2014-03-14,193
2014-03-15,76
2014-03-16,53
2014-03-17,217
2014-03-18,295
2014-03-19,249
2014-03-20,216
2014-03-21,232
2014-03-22,37
2014-03-23,34
2014-03-24,257
2014-03-25,295
2014-03-26,243
2014-03-27,260
2014-03-28,185
2014-03-29,74
2014-03-30,50
2014-03-31,316
2014-04-01,406
2014-04-02,455
2014-04-03,505
2014-04-04,371
2014-04-05,112
2014-04-06,255
2014-04-07,732
2014-04-08,387
2014-04-09,724
2014-04-10,844
2014-04-11,945
2014-04-12,507
2014-04-13,235
2014-04-14,773
2014-04-15,310
2014-04-16,517
2014-04-17,828
2014-04-18,244
2014-04-19,371
2014-04-20,345
2014-04-21,441
2014-04-22,519
2014-04-23,1035
2014-04-24,1223
2014-04-25,1236
2014-04-26,213
2014-04-27,462
2014-04-28,1529
2014-04-29,1151
2014-04-30,653
2014-05-01,806
2014-05-02,1279
2014-05-03,471
2014-05-04,291
2014-05-05,1626
2014-05-06,1918
2014-05-07,1914
2014-05-08,2024
2014-05-09,1287
2014-05-10,772
2014-05-11,777
2014-05-12,2114
2014-05-13,1658
2014-05-14,1816
2014-05-15,1937
2014-05-16,881
2014-05-17,677
2014-05-18,703
2014-05-19,780
2014-05-20,2378
2014-05-21,2532
2014-05-22,1957
2014-05-23,1789
2014-05-24,1026
2014-05-25,1223
2014-05-26,1869
2014-05-27,2277
2014-05-28,2247
2014-05-29,2347
2014-05-30,2196
2014-05-31,1198
2014-06-01,985
2014-06-02,2591
2014-06-03,1514
2014-06-04,2536
2014-06-05,2012
2014-06-06,2302
2014-06-07,1148
2014-06-08,1043
2014-06-09,2655
2014-06-10,2713
2014-06-11,1733
2014-06-12,1012
2014-06-13,983
2014-06-14,872
2014-06-15,996
2014-06-16,2578
2014-06-17,2457
2014-06-18,2551
2014-06-19,2747
2014-06-20,2601
2014-06-21,1230
2014-06-22,1232
2014-06-23,2857
2014-06-24,949
2014-06-25,2322
2014-06-26,2784
2014-06-27,2600
2014-06-28,1103
2014-06-29,884
2014-06-30,1806
2014-07-01,1355
2014-07-02,2367
2014-07-03,2315
2014-07-04,2313
2014-07-05,1184
2014-07-06,1078
2014-07-07,1260
2014-07-08,2475
2014-07-09,2638
2014-07-10,2914
2014-07-11,2568
2014-07-12,1113
2014-07-13,525
2014-07-14,2653
2014-07-15,1868
2014-07-16,2669
2014-07-17,2755
2014-07-18,2427
2014-07-19,986
2014-07-20,889
2014-07-21,2517
2014-07-22,2724
2014-07-23,2273
2014-07-24,2789
2014-07-25,2395
2014-07-26,789
2014-07-27,763
2014-07-28,1872
2014-07-29,2717
2014-07-30,1372
2014-07-31,1979
2014-08-01,2025
2014-08-02,869
2014-08-03,872
2014-08-04,834
2014-08-05,2221
2014-08-06,2564
2014-08-07,2475
2014-08-08,2314
2014-08-09,1018
2014-08-10,987
2014-08-11,2479
2014-08-12,1388
2014-08-13,1105
2014-08-14,1596
2014-08-15,1567
2014-08-16,484
2014-08-17,796
2014-08-18,2368
2014-08-19,2537
2014-08-20,2398
2014-08-21,1528
2014-08-22,2081
2014-08-23,1169
2014-08-24,956
2014-08-25,2530
